,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Squad,League
10,Bukayo Saka,eng ENG,"FW,MF",23-242,22,18,1539.0,17.1,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,6.3,5.5,6.8,12.3,82.0,62.0,233.0,0.35,0.58,0.94,0.29,0.88,0.37,0.4,0.77,0.32,0.72,Matches,Arsenal,Premier-League
11,Mikel Merino,es ESP,"MF,FW",28-317,26,15,1418.0,15.8,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,4.4,4.4,1.9,6.3,9.0,62.0,88.0,0.38,0.13,0.51,0.38,0.51,0.28,0.12,0.4,0.28,0.4,Matches,Arsenal,Premier-League
12,Myles Lewis-Skelly,eng ENG,DF,18-221,20,13,1168.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.1,0.1,0.4,0.5,32.0,62.0,33.0,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches,Arsenal,Premier-League
13,Riccardo Calafiori,it ITA,DF,22-351,17,11,925.0,10.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.1,21.0,54.0,29.0,0.19,0.1,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches,Arsenal,Premier-League
14,Ben White,eng ENG,DF,27-209,14,10,941.0,10.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,11.0,44.0,28.0,0.0,0.1,0.1,0.0,0.1,0.04,0.08,0.12,0.04,0.12,Matches,Arsenal,Premier-League
15,Ethan Nwaneri,eng ENG,"FW,MF",18-045,25,10,821.0,9.1,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.2,44.0,30.0,102.0,0.44,0.22,0.66,0.44,0.66,0.12,0.11,0.24,0.12,0.24,Matches,Arsenal,Premier-League
16,Jorginho,it ITA,MF,33-136,14,9,703.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.4,0.5,12.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Arsenal,Premier-League
17,Jakub Kiwior,pl POL,DF,25-079,14,7,852.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,5.0,36.0,0.0,0.11,0.0,0.11,0.11,0.11,0.02,0.03,0.05,0.02,0.05,Matches,Arsenal,Premier-League
18,Gabriel Jesus,br BRA,FW,28-032,17,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,0.7,3.7,15.0,19.0,57.0,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,Matches,Arsenal,Premier-League
19,Raheem Sterling,eng ENG,"FW,MF",30-148,16,6,437.0,4.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.8,25.0,17.0,73.0,0.0,0.41,0.41,0.0,0.41,0.27,0.1,0.37,0.27,0.37,Matches,Arsenal,Premier-League
20,Oleksandr Zinchenko,ua UKR,"DF,MF",28-141,13,4,455.0,5.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,10.0,37.0,12.0,0.0,0.2,0.2,0.0,0.2,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal,Premier-League
21,Kieran Tierney,sct SCO,"DF,FW",27-334,10,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,5.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1,0.43,0.53,0.1,0.53,Matches,Arsenal,Premier-League
22,Nathan Butler-Oyedeji,eng ENG,FW,22-121,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches,Arsenal,Premier-League
23,Takehiro Tomiyasu,jp JPN,DF,26-181,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,Matches,Arsenal,Premier-League
24,Reiss Nelson,eng ENG,FW,25-146,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,Premier-League
25,Youri Tielemans,be BEL,MF,27-363,35,35,2997.0,33.3,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,3.1,2.3,6.9,9.2,39.0,234.0,48.0,0.09,0.21,0.3,0.09,0.3,0.09,0.21,0.3,0.07,0.28,Matches,Aston-Villa,Premier-League
26,Emiliano Martínez,ar ARG,GK,32-245,34,34,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Aston-Villa,Premier-League
27,Morgan Rogers,eng ENG,"FW,MF",22-283,34,34,2853.0,31.7,8.0,8.0,16.0,8.0,0.0,0.0,9.0,0.0,6.2,6.2,7.4,13.6,108.0,117.0,177.0,0.25,0.25,0.5,0.25,0.5,0.2,0.23,0.43,0.2,0.43,Matches,Aston-Villa,Premier-League
28,Ezri Konsa,eng ENG,DF,27-194,31,30,2666.0,29.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,17.0,77.0,11.0,0.03,0.0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches,Aston-Villa,Premier-League
29,Ollie Watkins,eng ENG,FW,29-126,35,28,2333.0,25.9,15.0,7.0,22.0,13.0,2.0,2.0,2.0,0.0,14.7,13.2,3.0,16.2,52.0,29.0,148.0,0.58,0.27,0.85,0.5,0.77,0.57,0.12,0.69,0.51,0.62,Matches,Aston-Villa,Premier-League
30,Lucas Digne,fr FRA,DF,31-289,31,27,2261.0,25.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,4.4,5.1,23.0,55.0,140.0,0.0,0.16,0.16,0.0,0.16,0.03,0.17,0.2,0.03,0.2,Matches,Aston-Villa,Premier-League
31,John McGinn,sct SCO,"MF,FW",30-199,31,25,2052.0,22.8,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,2.9,2.6,3.4,6.0,31.0,96.0,72.0,0.04,0.18,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.27,Matches,Aston-Villa,Premier-League
32,Pau Torres,es ESP,DF,28-109,21,21,1819.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,33.0,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Aston-Villa,Premier-League
33,Matty Cash,pl POL,DF,27-271,24,21,1800.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.3,0.3,1.1,1.4,46.0,39.0,75.0,0.05,0.05,0.1,0.05,0.1,0.02,0.05,0.07,0.02,0.07,Matches,Aston-Villa,Premier-League
34,Jacob Ramsey,eng ENG,"FW,MF",23-342,27,18,1516.0,16.8,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,2.3,3.7,57.0,67.0,105.0,0.06,0.18,0.24,0.06,0.24,0.09,0.13,0.22,0.09,0.22,Matches,Aston-Villa,Premier-League
35,Boubacar Kamara,fr FRA,MF,25-163,23,17,1463.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,16.0,74.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,Matches,Aston-Villa,Premier-League
36,Amadou Onana,be BEL,MF,23-262,23,17,1378.0,15.3,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,2.1,0.3,2.4,21.0,60.0,14.0,0.2,0.0,0.2,0.2,0.2,0.14,0.02,0.16,0.14,0.16,Matches,Aston-Villa,Premier-League
37,Leon Bailey,jm JAM,"FW,MF",27-269,23,14,1138.0,12.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.5,3.3,57.0,35.0,121.0,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches,Aston-Villa,Premier-League
38,Tyrone Mings,eng ENG,DF,32-053,13,11,1051.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Aston-Villa,Premier-League
39,Ian Maatsen,nl NED,DF,23-056,26,8,957.0,10.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,2.7,3.5,27.0,40.0,91.0,0.09,0.19,0.28,0.09,0.28,0.07,0.25,0.33,0.07,0.33,Matches,Aston-Villa,Premier-League
40,Diego Carlos,br BRA,DF,32-051,10,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Aston-Villa,Premier-League
41,Marco Asensio,es ESP,"MF,FW",29-104,10,6,540.0,6.0,3.0,1.0,4.0,3.0,0.0,2.0,1.0,0.0,4.2,2.6,0.8,3.4,16.0,34.0,26.0,0.5,0.17,0.67,0.5,0.67,0.7,0.14,0.84,0.43,0.57,Matches,Aston-Villa,Premier-League
42,Axel Disasi,fr FRA,DF,27-055,7,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches,Aston-Villa,Premier-League
43,Lamare Bogarde,nl NED,"DF,MF",21-120,8,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.2,12.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Aston-Villa,Premier-League
44,Andrés García,es ESP,"DF,MF",22-087,7,5,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,26.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Aston-Villa,Premier-League
45,Jáder Durán,co COL,FW,21-143,20,4,638.0,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,4.9,4.9,0.2,5.1,7.0,13.0,44.0,0.99,0.0,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches,Aston-Villa,Premier-League
46,Marcus Rashford,eng ENG,FW,27-186,10,4,444.0,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.1,2.3,2.3,4.5,22.0,13.0,42.0,0.41,0.41,0.81,0.2,0.61,0.62,0.46,1.08,0.46,0.92,Matches,Aston-Villa,Premier-League
47,Ross Barkley,eng ENG,MF,31-151,18,3,571.0,6.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.7,1.7,0.6,2.3,15.0,33.0,10.0,0.47,0.16,0.63,0.47,0.63,0.27,0.1,0.37,0.27,0.37,Matches,Aston-Villa,Premier-League
48,Jaden Philogene Bidace,eng ENG,"FW,MF",23-086,11,2,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.5,0.5,0.3,0.8,7.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.13,0.08,0.2,0.13,0.2,Matches,Aston-Villa,Premier-League
49,Donyell Malen,nl NED,FW,26-116,12,2,293.0,3.3,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.2,2.2,0.1,2.2,11.0,5.0,25.0,0.92,0.0,0.92,0.92,0.92,0.66,0.02,0.68,0.66,0.68,Matches,Aston-Villa,Premier-League
50,Robin Olsen,se SWE,GK,35-117,3,1,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,Premier-League
51,Kosta Nedeljković,rs SRB,DF,19-140,5,0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston-Villa,Premier-League
52,Emi Buendía,ar ARG,"MF,FW",28-131,12,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.62,0.6,0.62,Matches,Aston-Villa,Premier-League
53,Milos Kerkez,hu HUN,DF,21-180,35,35,3077.0,34.2,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,0.5,0.5,3.7,4.2,96.0,144.0,169.0,0.06,0.15,0.2,0.06,0.2,0.02,0.11,0.12,0.01,0.12,Matches,Bournemouth,Premier-League
54,Antoine Semenyo,gh GHA,FW,25-119,34,33,2933.0,32.6,9.0,5.0,14.0,9.0,0.0,0.0,9.0,0.0,9.3,9.3,5.8,15.1,133.0,106.0,259.0,0.28,0.15,0.43,0.28,0.43,0.29,0.18,0.46,0.29,0.46,Matches,Bournemouth,Premier-League
55,Illia Zabarnyi,ua UKR,DF,22-247,33,32,2842.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.1,1.1,0.6,1.6,25.0,128.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Bournemouth,Premier-League
56,Lewis Cook,eng ENG,"MF,DF",28-092,34,30,2816.0,31.3,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,4.1,5.1,33.0,153.0,49.0,0.03,0.1,0.13,0.03,0.13,0.03,0.13,0.16,0.03,0.16,Matches,Bournemouth,Premier-League
57,Kepa Arrizabalaga,es ESP,GK,30-215,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
58,Justin Kluivert,nl NED,"MF,FW",26-001,31,27,2161.0,24.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,10.0,5.3,4.8,10.1,74.0,95.0,153.0,0.5,0.25,0.75,0.25,0.5,0.42,0.2,0.62,0.22,0.42,Matches,Bournemouth,Premier-League
59,Ryan Christie,sct SCO,MF,30-073,29,27,2117.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,1.8,1.8,3.5,5.4,34.0,137.0,44.0,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches,Bournemouth,Premier-League
60,Evanilson,br BRA,FW,25-212,28,25,2058.0,22.9,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,11.6,10.8,1.6,12.5,28.0,24.0,88.0,0.44,0.04,0.48,0.44,0.48,0.51,0.07,0.58,0.47,0.55,Matches,Bournemouth,Premier-League
61,Dean Huijsen,es ESP,DF,20-022,29,24,2234.0,24.8,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.9,1.9,2.0,3.8,36.0,116.0,10.0,0.12,0.04,0.16,0.12,0.16,0.08,0.08,0.15,0.08,0.15,Matches,Bournemouth,Premier-League
62,Dango Ouattara,bf BFA,FW,23-084,32,21,2005.0,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,8.4,8.4,5.5,13.8,79.0,43.0,191.0,0.31,0.18,0.49,0.31,0.49,0.38,0.25,0.62,0.38,0.62,Matches,Bournemouth,Premier-League
63,Tyler Adams,us USA,MF,26-081,25,18,1710.0,19.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.6,1.6,1.0,2.5,12.0,65.0,9.0,0.0,0.16,0.16,0.0,0.16,0.08,0.05,0.13,0.08,0.13,Matches,Bournemouth,Premier-League
64,Marcus Tavernier,eng ENG,"FW,MF",26-045,26,17,1670.0,18.6,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,5.3,5.3,2.8,8.1,41.0,102.0,106.0,0.16,0.27,0.43,0.16,0.43,0.29,0.15,0.44,0.29,0.44,Matches,Bournemouth,Premier-League
65,Adam Smith,eng ENG,DF,34-007,22,17,1409.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.3,1.0,12.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Bournemouth,Premier-League
66,Marcos Senesi,ar ARG,DF,27-361,15,12,1014.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.0,12.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Bournemouth,Premier-League
67,David Brooks,wls WAL,"FW,MF",27-302,26,8,832.0,9.2,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,1.7,3.9,25.0,27.0,75.0,0.22,0.0,0.22,0.22,0.22,0.24,0.18,0.42,0.24,0.42,Matches,Bournemouth,Premier-League
68,Alex Scott,eng ENG,MF,21-258,18,7,709.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,15.0,49.0,33.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.19,0.08,0.19,Matches,Bournemouth,Premier-League
69,James Hill,eng ENG,DF,23-116,10,6,448.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,3.0,16.0,8.0,0.0,0.2,0.2,0.0,0.2,0.06,0.05,0.11,0.06,0.11,Matches,Bournemouth,Premier-League
70,Julian Araujo,mx MEX,DF,23-266,10,6,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
71,Mark Travers,ie IRL,GK,25-353,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
72,Enes Ünal,tr TUR,"FW,MF",27-361,17,2,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,4.0,12.0,22.0,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches,Bournemouth,Premier-League
73,Neto,br BRA,GK,35-291,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
74,Luis Sinisterra,co COL,"FW,MF",25-323,12,1,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.4,2.6,19.0,6.0,38.0,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,Matches,Bournemouth,Premier-League
75,Philip Billing,dk DEN,MF,28-329,10,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,3.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,Matches,Bournemouth,Premier-League
76,Max Aarons,eng ENG,DF,25-122,3,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
77,Daniel Jebbison,eng ENG,FW,21-266,13,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.45,0.23,0.45,Matches,Bournemouth,Premier-League
78,Ben Winterburn,eng ENG,"FW,MF",20-244,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
79,Julio Soler,ar ARG,FW,20-079,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
80,Remy Rees-Dottin,eng ENG,FW,19-061,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
81,Zain Silcott-Duberry,ms MSR,FW,19-301,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,Premier-League
82,Nathan Collins,ie IRL,DF,24-005,35,35,3150.0,35.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,1.8,4.3,28.0,117.0,18.0,0.06,0.09,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches,Brentford,Premier-League
83,Bryan Mbeumo,cm CMR,FW,25-271,35,35,3144.0,34.9,18.0,6.0,24.0,13.0,5.0,5.0,3.0,0.0,10.8,6.9,8.0,14.9,118.0,128.0,319.0,0.52,0.17,0.69,0.37,0.54,0.31,0.23,0.54,0.2,0.43,Matches,Brentford,Premier-League
84,Mark Flekken,nl NED,GK,31-326,34,34,3005.0,33.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.02,0.02,0.0,0.02,Matches,Brentford,Premier-League
85,Keane Lewis-Potter,eng ENG,"DF,FW",24-072,35,33,2839.0,31.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,3.0,5.6,92.0,90.0,144.0,0.03,0.1,0.13,0.03,0.13,0.08,0.1,0.18,0.08,0.18,Matches,Brentford,Premier-League
86,Mikkel Damsgaard,dk DEN,"MF,FW",24-306,35,31,2658.0,29.5,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,2.6,2.6,7.8,10.4,64.0,213.0,121.0,0.07,0.34,0.41,0.07,0.41,0.09,0.26,0.35,0.09,0.35,Matches,Brentford,Premier-League
87,Yoane Wissa,cd COD,FW,28-244,32,31,2650.0,29.4,18.0,3.0,21.0,18.0,0.0,0.0,2.0,0.0,16.5,16.5,1.8,18.3,51.0,57.0,135.0,0.61,0.1,0.71,0.61,0.71,0.56,0.06,0.62,0.56,0.62,Matches,Brentford,Premier-League
